,prep,det,pct,pro,conj,pref,sujet
0,à,le,",",je,et,me,ma
1,après,la,.,tu,ou,te,ta
2,avant,les,!,il,mais,se,sa
3,au,l’,:,elle,donc,,mon
4,avec,un,«,nous,or,,ton
5,chez,une,»,vous,ni,,son
6,contre,ce,;,ils,car,,mes
7,d’,cet,?,elles,néanmoins,,tes
8,dans,cette,;,on,cependant,,ses
9,de,ces,/,cela,pourtant,,notre
10,depuis,chaque,\,celle,ainsi,,votre
11,en,quelques,|,ceux,,,leur
12,malgré,plusieurs,$,quel,où,,nos
13,par,tout,€,quelles,puis,,vos
14,pendant,tous,“,quelle,,,leurs
15,pour,toute,”,,,,
16,sans,toutes,‘,,,,
17,sauf,c’,’,,,,
18,selon,j’,,,,,
19,sous,t’,,,,,
20,sur,des,,,,,
21,vers,,,,,,
22,jusqu’à,,,,,,
23,dès,,,,,,
24,du,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,